"","indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"2223","Q88","IBP141","Q88","Total","Does the Year-End Report present revenue estimates by category such as tax and non-tax?","IBP",NA,"Score","Score","Index",4.387,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP141",""
"2224","Q86","IBP142","Q86","Total","Does the Year-End Report present the actual outcome for extrabudgetary funds?","IBP",NA,"Score","Score","Index",4.086,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP142",""
"2225","Q94","IBP143","Q94","Total","Does the Year-End Report present the differences between the enacted level of funds for policies that are intended to benefit directly the country most impoverished populations and the actual outcome?","IBP",NA,"Score","Score","Index",4.219,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP143",""
"2226","Q84","IBP144","Q84","Total","Does the Year-End Report present the differences between the enacted levels including In-Year changes approved by the legislature and the actual outcome for expenditures?","IBP",NA,"Score","Score","Index",4.161,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP144",""
"2227","Q87","IBP145","Q87","Total","Does the Year-End Report present the differences between the enacted levels including In-Year changes approved by the legislature and the actual outcome for revenues?","IBP",NA,"Score","Score","Index",4.03,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP145",""
"2228","Q95","IBP146","Q95","Total","Does the Year-End Report present the differences between the original estimates of extrabudgetary funds and the actual outcome?","IBP",NA,"Score","Score","Index",4.42,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP146",""
"2229","Q90","IBP147","Q90","Total","Does the Year-End Report present the differences between the original estimates of government borrowing and debt including its composition for the fiscal year and the actual outcome for that year?","IBP",NA,"Score","Score","Index",4.215,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP147",""
"2230","Q92","IBP148","Q92","Total","Does the Year-End Report present the differences between the original estimates of nonfinancial data on inputs and the actual outcome?","IBP",NA,"Score","Score","Index",4.285,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP148",""
"2231","Q93","IBP149","Q93","Total","Does the Year-End Report present the differences between the original estimates of nonfinancial data on results and the actual outcome? ","IBP",NA,"Score","Score","Index",4.363,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP149",""
"2232","Q71","IBP15","Q71","Total","Do In-Year Reports released to the public on actual borrowing present information related to the composition of government debt for the budget year?","IBP",NA,"Score","Score","Index",4.02,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP15",""
"2233","Q91","IBP150","Q91","Total","Does the Year-End Report present the differences between the original macroeconomic forecast for the fiscal year and the actual outcome for that year?","IBP",NA,"Score","Score","Index",4.183,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP150",""
"2234","Q100","IBP151","Q100","Total","Does the annual Audit Reports prepared by the Supreme Audit Institution SAI include an executive summary?","IBP",NA,"Score","Score","Index",4.001,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP151",""
"2235","Q89","IBP152","Q89","Total","Does the annual Audit Reports that is released to the public include an executive summary?","IBP",NA,"Score","Score","Index",4.281,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP152",""
"2236","Q58","IBP153","Q58","Total","Does the executive adhere to its timetable for the preparation and release of the budget?","IBP",NA,"Score","Score","Index",4.322,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP153",""
"2237","Q115","IBP154","Q115","Total","Does the executive clearly and in a timely manner articulate its purpose for engaging the public during the budget formulation and execution processes?","IBP",NA,"Score","Score","Index",4.047,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP154",""
"2238","Q59","IBP155","Q59","Total","Does the executive hold consultations with members of the legislature as part of its process of determining budget priorities?","IBP",NA,"Score","Score","Index",4.075,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP155",""
"2239","Q95","IBP156","Q95","Total","Does the executive make available to the public a report on what steps it has taken to address audit recommendations or findings that indicate a need for remedial action?","IBP",NA,"Score","Score","Index",4.194,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP156",""
"2240","Q113","IBP157","Q113","Total","Does the executive make available to the public accessible non-technical definitions of terms used in the budget and other budget-related documents for instance in a glossary?","IBP",NA,"Score","Score","Index",4.457,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP157",""
"2241","Q119","IBP158","Q119","Total","Does the executive make available to the public clear accessible non-technical definitions of terms used in the budget and other budget-related documents for instance in a glossary? ","IBP",NA,"Score","Score","Index",4.085,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP158",""
"2242","Q118","IBP159","Q118","Total","Does the executive provide formal detailed feedback to the public on how its inputs have been used to develop budget plans and improve budget execution?","IBP",NA,"Score","Score","Index",4.255,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP159",""
"2243","Q120","IBP16","Q120","Total","Do legislative committees hold public hearings on the individual budgets of central government administrative units in which testimony from the executive branch is heard?","IBP",NA,"Score","Score","Index",4.466,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP16",""
"2244","Q70","IBP160","Q70","Total","Does the executive release to the public In-Year Reports on actual borrowing?","IBP",NA,"Score","Score","Index",4.217,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP160",""
"2245","Q73","IBP161","Q73","Total","Does the executive release to the public a Mid-Year Review of the budget that discusses the changes in the economic outlook since the budget was enacted? ","IBP",NA,"Score","Score","Index",4.464,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP161",""
"2246","Q74","IBP162","Q74","Total","Does the executive release to the public a Mid-Year Review of the budget that includes updated expenditure estimates for the budget year underway?","IBP",NA,"Score","Score","Index",4.093,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP162",""
"2247","Q76","IBP163","Q76","Total","Does the executive release to the public a Mid-Year Review of the budget that includes updated revenue estimates for the budget year underway?","IBP",NA,"Score","Score","Index",4.042,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP163",""
"2248","Q57","IBP164","Q57","Total","Does the executive release to the public its timetable for formulating the Executive Budget Proposal? ","IBP",NA,"Score","Score","Index",4.302,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP164",""
"2249","Q109","IBP165","Q109","Total","Does the executive seek input from the Legislature prior to shifting funds between administrative units that receive explicit funding in the Enacted Budget and is it legally required to do so? ","IBP",NA,"Score","Score","Index",4.064,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP165",""
"2250","Q110","IBP166","Q110","Total","Does the executive seek input from the Legislature prior to shifting funds within administrative units that receive explicit funding in the Enacted Budget and is it legally required to do so? ","IBP",NA,"Score","Score","Index",4.199,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP166",""
"2251","Q113","IBP167","Q113","Total","Does the executive seek input from the Legislature prior to spending funds for which no specific purpose was identified in the Enacted Budget and is it legally required to do so? ","IBP",NA,"Score","Score","Index",4.334,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP167",""
"2252","Q111","IBP168","Q111","Total","Does the executive seek input from the Legislature prior to spending excess revenue that may become available during the budget execution period, and is it legally required to do so? ","IBP",NA,"Score","Score","Index",4.452,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP168",""
"2253","Q104","IBP169","Q104","Total","Does the legislature debate budget policy prior to the tabling of the Executive Budget Proposal?","IBP",NA,"Score","Score","Index",4.122,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP169",""
"2254","Q128","IBP17","Q128","Total","Do legislative committees hold public hearings on the individual budgets of central government administrative units ie ministries departments and agencies in which testimony from the public is heard?","IBP",NA,"Score","Score","Index",4.11,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP17",""
"2255","Q98","IBP170","Q98","Total","Does the legislature formally debate the overall budget policy prior to the tabling of the Executive Budget Proposal?","IBP",NA,"Score","Score","Index",4.022,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP170",""
"2256","Q97","IBP171","Q97","Total","Does the legislature have the internal capacity to conduct budget analyses or access to independent research capacity for such analyses? ","IBP",NA,"Score","Score","Index",4.072,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP171",""
"2257","Q103","IBP172","Q103","Total","Does the legislature have the internal capacity to conduct budget analyses or use independent research capacity for such analyses? ","IBP",NA,"Score","Score","Index",4.384,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP172",""
"2258","Q100","IBP173","Q100","Total","Does the legislature have the authority in law to amend the Executive Budget Proposal?","IBP",NA,"Score","Score","Index",4.377,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP173",""
"2259","Q94","IBP174","Q94","Total","Does the supreme audit institution SAI employ designated staff to undertake audits of the central government agencies pertaining to the security sector military police intelligence services?","IBP",NA,"Score","Score","Index",4.006,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP174",""
"2260","Q123","IBP175","Q123","Total","Does the supreme audit institution SAI maintain formal mechanisms through which the public can participate in the audit process?","IBP",NA,"Score","Score","Index",4.398,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP175",""
"2261","Q91","IBP177","Q91","Total","Does the supreme audit institution SAI release to the public audits of extrabudgetary funds?","IBP",NA,"Score","Score","Index",4.142,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP177",""
"2262","Q72","IBP178","Q72","Total","For In-Year Reports on actual expenditure released to the public by the executive how much time typically elapses between the end of the reporting period and when the report is released?","IBP",NA,"Score","Score","Index",4.463,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP178",""
"2263","Q116","IBP179","Q116","Total","Has the Supreme Audit Institution SAI established a monitoring system to provide ongoing independent evaluations of its audit processes a quality assurance system?","IBP",NA,"Score","Score","Index",4.228,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP179",""
"2264","Q70","IBP18","Q70","Total","Do the In-Year Reports compare actual year-to-date expenditures with either the original estimate for that period based on the enacted budget for the same period in the previous year?  ","IBP",NA,"Score","Score","Index",4.068,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP18",""
"2265","Q124","IBP180","Q124","Total","Has the Executive established mechanisms to identify the public perspective on budget execution? ","IBP",NA,"Score","Score","Index",4.043,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP180",""
"2266","Q123","IBP181","Q123","Total","Has the Executive established mechanisms to identify the public perspective on budget priorities? ","IBP",NA,"Score","Score","Index",4.324,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP181",""
"2267","Q66","IBP182","Q66","Total","Has the Executive established mechanisms to identify the public requirements for budget information prior to publishing the Citizens Budget? ","IBP",NA,"Score","Score","Index",4.341,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP182",""
"2268","Q117","IBP183","Q117","Total","Has the Executive established practical and accessible mechanisms to identify the public perspective on budget execution? ","IBP",NA,"Score","Score","Index",4.233,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP183",""
"2269","Q116","IBP184","Q116","Total","Has the Executive established practical and accessible mechanisms to identify the public perspective on budget priorities? ","IBP",NA,"Score","Score","Index",4.083,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP184",""
"2270","Q56","IBP185","Q56","Total","How far in advance of the release of the budget is the day of its release known?","IBP",NA,"Score","Score","Index",4.321,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP185",""
"2271","Q99","IBP186","Q99","Total","How far in advance of the start of the budget year does the legislature receive the Executive Budget Proposal?","IBP",NA,"Score","Score","Index",4.005,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP186",""
"2272","Q110","IBP187","Q110","Total","How is the Citizens Budget disseminated to the public?","IBP",NA,"Score","Score","Index",4.337,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP187",""
"2273","Q77","IBP188","Q77","Total","How long after the end of the budget year does the executive release to the public a Year-End Report that discusses the budget actual outcome for the year?","IBP",NA,"Score","Score","Index",4.439,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP188",""
"2274","t3yer","IBP189","t3yer","Total","How long after the end of the budget year is the Year-End Report made available to the public?","IBP",NA,"Score","Score","Index",4.126,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP189",""
"2275","Q73","IBP19","Q73","Total","Do the In-Year Reports compare actual year-to-date revenues with either the original estimate for that period based on the enacted budget for the same period in the previous year?  ","IBP",NA,"Score","Score","Index",4.182,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP19",""
"2276","t3ar","IBP190","t3ar","Total","How long after the end of the fiscal year are the final annual expenditures of national departments audited and released except for secret programs?","IBP",NA,"Score","Score","Index",4.304,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP190",""
"2277","Q87","IBP191","Q87","Total","How long after the end of the fiscal year are the final annual expenditures of national departments audited and the results of the audits except for secret programs released to the public?","IBP",NA,"Score","Score","Index",4.462,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP191",""
"2278","t3myr","IBP192","t3myr","Total","How long after the midpoint in the fiscal year ie six months into the fiscal year is the Mid-Year Review made available to the public? ","IBP",NA,"Score","Score","Index",4.169,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP192",""
"2279","Q63","IBP193","Q63","Total","How often does the executive release to the public In-Year Reports on actual expenditure organized by administrative unit economic classification and/or function? ","IBP",NA,"Score","Score","Index",4.445,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP193",""
"2280","Q67","IBP194","Q67","Total","How often does the executive release to the public In-Year Reports on actual revenue collections by the source of revenue? ","IBP",NA,"Score","Score","Index",4.071,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP194",""
"2281","Q5","IBP195","Q5","Total","If the Executive Budget Proposal  present expenditures for the budget year by economic classification. is the economic classification compatible with international standards? ","IBP",NA,"Score","Score","Index",4.163,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP195",""
"2282","Q3","IBP196","Q3","Total","If the Executive Budget Proposal present expenditures for the budget year by functional classification is the functional classification compatible with international standards? ","IBP",NA,"Score","Score","Index",4.196,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP196",""
"2283","Q5","IBP197","Q5","Total","In the Executive Budget Proposal or any supporting budget, documentation are estimates of the aggregate level of expenditure presented for a multi-year period? ","IBP",NA,"Score","Score","Index",4.141,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP197",""
"2284","Q23","IBP198","Q23","Total","In the Executive Budget Proposal or any supporting budget, documentation are estimates of the aggregate level of expenditure presented for more than one year prior to the budget year? ","IBP",NA,"Score","Score","Index",4.272,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP198",""
"2285","Q9","IBP199","Q9","Total","In the Executive Budget Proposal or any supporting budget, documentation are estimates of the aggregate level of revenue presented for a multi-year period at least two years beyond the budget year? ","IBP",NA,"Score","Score","Index",4.009,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP199",""
"2286","Q112","IBP2","Q112","Total","Are Citizens Budget throughout the budget process?","IBP",NA,"Score","Score","Index",4.063,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP2",""
"2287","Q68","IBP20","Q68","Total","Do the In-Year Reports present actual expenditures by any of the three expenditure classifications by administrative economic or functional classification?","IBP",NA,"Score","Score","Index",4.421,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP20",""
"2288","Q30","IBP200","Q30","Total","In the Executive Budget Proposal or any supporting budget, documentation are estimates of the aggregate level of revenues presented for more than one year prior to the budget year? ","IBP",NA,"Score","Score","Index",4.225,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP200",""
"2289","Q21","IBP201","Q21","Total","In the Executive Budget Proposal has expenditure estimates of the year prior to the budget year BY-1 been updated from the original enacted levels to reflect actual expenditures?  ","IBP",NA,"Score","Score","Index",4.154,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP201",""
"2290","Q27","IBP202","Q27","Total","In the Executive Budget Proposal have the original estimates of revenue for the year prior to the budget year BY-1 been updated to reflect actual revenue collections?","IBP",NA,"Score","Score","Index",4.197,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP202",""
"2291","Q22","IBP203","Q22","Total","In the Executive Budget Proposal how many months of data on actual expenditures are reflected in the expenditure estimates of the year prior to the budget year BY-1?","IBP",NA,"Score","Score","Index",4.171,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP203",""
"2292","Q29","IBP204","Q29","Total","In the Executive Budget Proposal or any supporting budget documentation how many months of data on actual revenues are reflected in the revenue estimates of the year prior to the budget year BY-1?","IBP",NA,"Score","Score","Index",4.028,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP204",""
"2293","Q6","IBP205","Q6","Total","In the Executive Budget Proposal or any supporting budget documentation is more detail in addition to the aggregate level presented for expenditure estimates that cover a multi-year period?","IBP",NA,"Score","Score","Index",4.37,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP205",""
"2294","Q31","IBP206","Q31","Total","In the Executive Budget Proposal  is more detail in addition to the aggregate level presented for revenue estimates for more than one year prior to the budget year?","IBP",NA,"Score","Score","Index",4.066,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP206",""
"2295","Q10","IBP207","Q10","Total","In the Executive Budget Proposal or any supporting budget documentation is more detail in addition to the aggregate level presented for revenue estimates that cover a multi-year period?","IBP",NA,"Score","Score","Index",4.36,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP207",""
"2296","Q25","IBP208","Q25","Total","In the Executive Budget Proposal or any supporting budget documentation, what is the most recent year presented for which all expenditures reflect actual outcomes? ","IBP",NA,"Score","Score","Index",4.016,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP208",""
"2297","Q32","IBP209","Q32","Total","In the Executive Budget Proposal or any supporting budget documentation, what is the most recent year presented for which all revenues reflect actual outcomes? ","IBP",NA,"Score","Score","Index",4.147,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP209",""
"2298","Q69","IBP21","Q69","Total","Do the In-Year Reports present actual expenditures for individual programs?","IBP",NA,"Score","Score","Index",4.229,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP21",""
"2299","Q34","IBP210","Q34","Total","In the Executive Budget Proposal or any supporting budget documentation, what is the most recent year presented for which the debt figures reflect actual outcomes? ","IBP",NA,"Score","Score","Index",4.278,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP210",""
"2300","Q78","IBP211","Q78","Total","In the Year-End Report have the data on the actual outcomes been audited?","IBP",NA,"Score","Score","Index",4.348,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP211",""
"2301","Q96","IBP212","Q96","Total","Is a financial statement included as part of the Year-End Report or released as a separate report?","IBP",NA,"Score","Score","Index",4.149,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP212",""
"2302","Q114","IBP213","Q114","Total","Is the executive formally required to engage with the public during the budget process?","IBP",NA,"Score","Score","Index",4.081,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP213",""
"2303","Q120","IBP214","Q120","Total","Is the executive formally required to engage with the public during the formulation and execution phases of the budget process?","IBP",NA,"Score","Score","Index",4.416,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP214",""
"2304","Q102","IBP215","Q102","Total","Is the executive required by law or regulation to seek input from the Legislature when it shifts funds between administrative units that receive explicit funding through the annual budget? ","IBP",NA,"Score","Score","Index",4.447,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP215",""
"2305","Q103","IBP216","Q103","Total","Is the executive required seek input from the Legislature when it shifts funds between line items except when the amounts are below a certain minimal level specified in law or regulation? ","IBP",NA,"Score","Score","Index",4.388,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP216",""
"2306","Q90","IBP218","Q90","Total","Must a branch of government other than the executive such as the legislature or the judiciary give final consent before the head of the supreme audit institution SAI can be removed from office?","IBP",NA,"Score","Score","Index",4.275,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP218",""
"2307","Q88","IBP219","Q88","Total","Two years after the end of a fiscal year what percentage of annual expenditures has been audited and included in except for secret programs the Audit Reports released to the public?","IBP",NA,"Score","Score","Index",4.453,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP219",""
"2308","Q66","IBP22","Q66","Total","Do the In-Year Reports released to the public compare actual year-to-date expenditures with either the original estimate for that period or the same period in the previous year?","IBP",NA,"Score","Score","Index",4.413,"Citizen Engagement","Open Government and Transparency",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","IBP22",""
