"","Indicator","Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"212","the difference between actual primary expenditure and the originally budgeted primary expenditure ie excluding debt service charges but also excluding-PEFA-Total","PEFA","the difference between actual primary expenditure and the originally budgeted primary expenditure ie excluding debt service charges but also excluding","Total","The difference between actual primary expenditure and the originally budgeted primary expenditure ie excluding debt service charges but also excluding","2-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.427,"Public Sector Management","Public Expenditure Management","Other","The difference between actual primary expenditure and the originally budgeted primary expenditure ie excluding debt service charges but also excluding (i)","",NA,"","","","","",NA,"","","","","PEFA60","PEFA60","","",""
"213","the level of extra-budgetary expenditure other than donor funded projects which is unreported ie not included in fiscal reports-PEFA-Total","PEFA","the level of extra-budgetary expenditure other than donor funded projects which is unreported ie not included in fiscal reports","Total","The level of extra-budgetary expenditure other than donor funded projects which is unreported ie not included in fiscal reports","16-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"214","timeliness and regularity of accounts reconciliation-PEFA-Total","PEFA","timeliness and regularity of accounts reconciliation","Total","Timeliness and regularity of accounts reconciliation","73-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.107,"Public Sector Management","Public Expenditure Management","Other","Timeliness and regularity of accounts reconciliation","",NA,"","","","","",NA,"","","","","PEFA29","PEFA29","","",""
"215","timeliness of changes to personnel records and the payroll-PEFA-Total","PEFA","timeliness of changes to personnel records and the payroll","Total","Timeliness of changes to personnel records and the payroll","57-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.416,"Public Sector Management","Public Expenditure Management","Other","Timeliness of changes to personnel records and the payroll (ii)","",NA,"","","","","",NA,"","","","","PEFA84","PEFA84","","",""
"216","timeliness of examination of audit reports by the legislature for reports received within the last three years-PEFA-Total","PEFA","timeliness of examination of audit reports by the legislature for reports received within the last three years","Total","Timeliness of examination of audit reports by the legislature for reports received within the last three years","96-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.868,"Public Sector Management","Public Expenditure Management","Other","Timeliness of examination of audit reports by the Legislature for reports received within the last three years (i) ","",NA,"","","","","",NA,"","","","","PEFA62","PEFA62","","",""
"217","timeliness of information on transfers-PEFA-Total","PEFA","timeliness of information on transfers","Total","Timeliness of information on transfers","125-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"218","timeliness of reliable information to sn governments on their allocations from central government for the coming year-PEFA-Total","PEFA","timeliness of reliable information to sn governments on their allocations from central government for the coming year","Total","Timeliness of reliable information to sn governments on their allocations from central government for the coming year","107-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.101,"Public Sector Management","Public Expenditure Management","Other","Timeliness of reliable information to SN governments on their allocations from central government for the coming year (ii)","",NA,"","","","","",NA,"","","","","PEFA85","PEFA85","","",""
"219","timeliness of submission of audit reports to legislature-PEFA-Total","PEFA","timeliness of submission of audit reports to legislature","Total","Timeliness of submission of audit reports to legislature","88-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.072,"Public Sector Management","Public Expenditure Management","Other","Timeliness of submission of audit reports to legislature (ii)","",NA,"","","","","",NA,"","","","","PEFA86","PEFA86","","",""
"220","timeliness of submission of the financial statements-PEFA-Total","PEFA","timeliness of submission of the financial statements","Total","Timeliness of submission of the financial statements","84-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.691,"Public Sector Management","Public Expenditure Management","Other","Timeliness of submission of the financial statements (ii)","",NA,"","","","","",NA,"","","","","PEFA87","PEFA87","","",""
"221","timeliness of the issue of reports-PEFA-Total","PEFA","timeliness of the issue of reports","Total","Timeliness of the issue of reports","80-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.756,"Public Sector Management","Public Expenditure Management","Other","Timeliness of the issue of reports (ii)","",NA,"","","","","",NA,"","","","","PEFA88","PEFA88","","",""
"222","timely budget approval by the legislature or similarly mandated body within the last three years-PEFA-Total","PEFA","timely budget approval by the legislature or similarly mandated body within the last three years","Total","Timely budget approval by the legislature or similarly mandated body within the last three years","29-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.164,"Public Sector Management","Public Expenditure Management","Other","Timely budget approval by the legislature or similarly mandated body within the last three years (iii)","",NA,"","","","","",NA,"","","","","PEFA107","PEFA107","","",""
"223","timing of in-year budget reports-PEFA-Total","PEFA","timing of in-year budget reports","Total","Timing of in-year budget reports","208-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"224","transfer of reenue collections-PEFA-Total","PEFA","transfer of reenue collections","Total","Transfer of reenue collections","178-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"225","transfers to subnational goernments-PEFA-Total","PEFA","transfers to subnational goernments","Total","Transfers to subnational goernments","123-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"226","transparency competition and complaints mechanisms in procurement-PEFA-Total","PEFA","transparency competition and complaints mechanisms in procurement","Total","Transparency competition and complaints mechanisms in procurement","60-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.56,"Public Sector Management","Public Expenditure Management","Other","Transparency competition and complaints mechanisms in procurement","",NA,"","","","","",NA,"","","","","PEFA30","PEFA30","","",""
"227","transparency comprehensiveness and competition in the legal and regulatory framework-PEFA-Total","PEFA","transparency comprehensiveness and competition in the legal and regulatory framework","Total","Transparency comprehensiveness and competition in the legal and regulatory framework","61-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.242,"Public Sector Management","Public Expenditure Management","Other","Transparency comprehensiveness and competition in the legal and regulatory framework (i)","",NA,"","","","","",NA,"","","","","PEFA63","PEFA63","","",""
"228","transparency of asset disposal-PEFA-Total","PEFA","transparency of asset disposal","Total","Transparency of asset disposal","144-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"229","transparency of intergovernmental fiscal relations-PEFA-Total","PEFA","transparency of intergovernmental fiscal relations","Total","Transparency of intergovernmental fiscal relations","18-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.091,"Public Sector Management","Public Expenditure Management","Other","Transparency of intergovernmental fiscal relations","",NA,"","","","","",NA,"","","","","PEFA31","PEFA31","","",""
"230","transparency of taxpayer obligations and liabilities-PEFA-Total","PEFA","transparency of taxpayer obligations and liabilities","Total","Transparency of taxpayer obligations and liabilities","35-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.351,"Public Sector Management","Public Expenditure Management","Other","Transparency of taxpayer obligations and liabilities","",NA,"","","","","",NA,"","","","","PEFA32","PEFA32","","",""
"231","transparent and rules based systems in the horizontal allocation among sn governments of unconditional and conditional transfers from central government both budgeted and actual allocations-PEFA-Total","PEFA","transparent and rules based systems in the horizontal allocation among sn governments of unconditional and conditional transfers from central government both budgeted and actual allocations","Total","Transparent and rules based systems in the horizontal allocation among sn governments of unconditional and conditional transfers from central government both budgeted and actual allocations","19-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.07,"Public Sector Management","Public Expenditure Management","Other","Transparent and rules based systems in the horizontal allocation among SN governments of unconditional and conditional transfers from central government both budgeted and actual allocations (i)","",NA,"","","","","",NA,"","","","","PEFA64","PEFA64","","",""
"232","use of competitive procurement methods-PEFA-Total","PEFA","use of competitive procurement methods","Total","Use of competitive procurement methods","62-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.788,"Public Sector Management","Public Expenditure Management","Other","Use of competitive procurement methods (ii)","",NA,"","","","","",NA,"","","","","PEFA89","PEFA89","","",""
