"","X.2","Indicator_Id","X.1","Dataset","X","indicator","Indicator_Name","answer","Display_Name","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description","Rank_1"
"3126",3126,"Global_Integrity611",1279,"Global_Integrity",16371,"42d","42d","Total","In practice when necessary the internal reporting mechanism for public sector corruption initiates investigations",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity611","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.298
"3127",3127,"Global_Integrity612",1280,"Global_Integrity",16381,"42e","42e","Total","In law there are restrictions for senior public servants entering positions in the private sector",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity612","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.694
"3128",3128,"Global_Integrity613",1281,"Global_Integrity",16391,"42e","42e","Total","In practice civil servant bonuses constitute only a small faction of total pay",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity613","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.968
"3129",3129,"Global_Integrity614",1282,"Global_Integrity",16401,"42f","42f","Total","In law there are regulations and registers concerning gifts and hospitality for senior civil servants?",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity614","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.636
"3130",3130,"Global_Integrity615",1283,"Global_Integrity",16411,"42f","42f","Total","In practice the government publishes the number of authorized civil service positions along with the number of positions actually filled",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity615","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.15
"3131",3131,"Global_Integrity616",1284,"Global_Integrity",16421,"42g","42g","Total","In practice the independent redress mechanism for the civil service is effective",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity616","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.166
"3132",3132,"Global_Integrity617",1285,"Global_Integrity",16431,"42h","42h","Total","In practice in the past year the government has paid civil servants on time",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity617","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",4.61
"3133",3133,"Global_Integrity618",1286,"Global_Integrity",16441,"42i","42i","Total","In practice civil servants convicted of corruption are prohibited from future government employment",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity618","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.981
"3134",3134,"Global_Integrity619",1287,"Global_Integrity",16451,"43","43","Total","Is the law governing the administration and civil service effective?",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity619","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.378
"3135",3135,"Global_Integrity62",1288,"Global_Integrity",16461,"11c","11c","Total","In practice there is no prior restraint on publishing corruption-related stories",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity62","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.266
"3136",3136,"Global_Integrity620",1289,"Global_Integrity",16471,"43","43","Total","Is the legislative committee overseeing the expenditure of public funds effective?",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity620","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.382
"3137",3137,"Global_Integrity621",1290,"Global_Integrity",16481,"43","43","Total","Is the public procurement process effective?",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity621","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.391
"3138",3138,"Global_Integrity622",1291,"Global_Integrity",16491,"43a","43a","Total","In law there are regulations addressing conflicts of interest for public procurement officials",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity622","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.633
"3139",3139,"Global_Integrity623",1292,"Global_Integrity",16501,"43a","43a","Total","In law there are requirements for civil servants to recuse themselves from policy decisions where their personal interests may be affected",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity623","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.663
"3140",3140,"Global_Integrity624",1293,"Global_Integrity",16511,"43a","43a","Total","In practice civil servants are protected from political interference",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity624","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.978
"3141",3141,"Global_Integrity625",1294,"Global_Integrity",16521,"43a","43a","Total","In practice department heads regularly submit reports to this committee",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity625","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",4.12
"3142",3142,"Global_Integrity626",1295,"Global_Integrity",16531,"43b","43b","Total","In law there are restrictions for civil servants entering the private sector after leaving the government",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity626","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.687
"3143",3143,"Global_Integrity627",1296,"Global_Integrity",16541,"43b","43b","Total","In law there is mandatory professional training for public procurement officials",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity627","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.736
"3144",3144,"Global_Integrity628",1297,"Global_Integrity",16551,"43b","43b","Total","In practice civil servants are appointed according to professional criteria",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity628","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.97
"3145",3145,"Global_Integrity629",1298,"Global_Integrity",16561,"43b","43b","Total","In practice the committee acts in a non-partisan manner with members of opposition parties serving on the committee in an equitable fashion",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity629","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.099
"3146",3146,"Global_Integrity63",1299,"Global_Integrity",16571,"11d","11d","Total","In practice citizens can resolve appeals to information requests at a reasonable cost",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity63","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.945
"3147",3147,"Global_Integrity630",1300,"Global_Integrity",16581,"43c","43c","Total","In law there are regulations governing gifts and hospitality offered to civil servants",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity630","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.64
"3148",3148,"Global_Integrity631",1301,"Global_Integrity",16591,"43c","43c","Total","In practice civil servants are not employed based on nepotism",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity631","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.975
"3149",3149,"Global_Integrity632",1302,"Global_Integrity",16601,"43c","43c","Total","In practice the conflicts of interest regulations for public procurement officials are enforced",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity632","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.101
"3150",3150,"Global_Integrity633",1303,"Global_Integrity",16611,"43c","43c","Total","In practice when necessary this committee initiates independent investigations into financial irregularities",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity633","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.325
"3151",3151,"Global_Integrity634",1304,"Global_Integrity",16621,"43d","43d","Total","In law there is a mechanism that monitors the assets incomes and spending habits of public procurement officials",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity634","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.709
"3152",3152,"Global_Integrity635",1305,"Global_Integrity",16631,"43d","43d","Total","In practice civil servants are not employed based on cronyism/patronage",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity635","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.974
"3153",3153,"Global_Integrity636",1306,"Global_Integrity",16641,"43d","43d","Total","In practice the regulations restricting post-government private sector employment for civil servants are effective",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity636","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.231
"3154",3154,"Global_Integrity637",1307,"Global_Integrity",16651,"43e","43e","Total","In law major procurements require competitive bidding",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity637","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.516
"3155",3155,"Global_Integrity638",1308,"Global_Integrity",16661,"43e","43e","Total","In practice civil servants have clear job descriptions",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity638","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.986
"3156",3156,"Global_Integrity639",1309,"Global_Integrity",16671,"43e","43e","Total","In practice the regulations governing gifts and hospitality offered to civil servants are effective",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity639","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.22
"3157",3157,"Global_Integrity64",1310,"Global_Integrity",16681,"11e","11e","Total","In practice the government gives reasons for denying an information request",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity64","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.143
"3158",3158,"Global_Integrity640",1311,"Global_Integrity",16691,"43f","43f","Total","In law strict formal requirements limit the extent of sole sourcing",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity640","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.557
"3159",3159,"Global_Integrity641",1312,"Global_Integrity",16701,"43f","43f","Total","In practice in the past year the government has paid civil servants on time",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity641","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",4.62
"3160",3160,"Global_Integrity642",1313,"Global_Integrity",16711,"43f","43f","Total","In practice the requirements for civil service recusal from policy decisions affecting personal interests are effective",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity642","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.242
"3161",3161,"Global_Integrity643",1314,"Global_Integrity",16721,"43g","43g","Total","In law unsuccessful bidders can instigate an official review of procurement decisions",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity643","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.745
"3162",3162,"Global_Integrity644",1315,"Global_Integrity",16731,"43g","43g","Total","In practice civil servants convicted of corruption are prohibited from future government employment",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity644","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.982
"3163",3163,"Global_Integrity645",1316,"Global_Integrity",16741,"43h","43h","Total","In law unsuccessful bidders can challenge procurement decisions in a court of law",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity645","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.741
"3164",3164,"Global_Integrity646",1317,"Global_Integrity",16751,"43h","43h","Total","In practice restrictions on private sector employment for senior public officials are enforced",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity646","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.015
"3165",3165,"Global_Integrity647",1318,"Global_Integrity",16761,"43i","43i","Total","In law companies guilty of major violations of procurement regulations ie bribery are prohibited from participating in future procurement bids",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity647","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.437
