"","Indicator_Id","X.1","Dataset","X","indicator","Indicator_Name","answer","Display_Name","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description","n_Countries","n_years","min_year","max_year"
"4051","PAM_IAD52",3763,"PAM_IAD",3892,"119","119","Total","Members of Parliament (MPs) / Criminal sanctions stipulated for late filing (Code 119)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.02,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD52","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4052","PAM_IAD53",3764,"PAM_IAD",3893,"136","136","Total","Civil Servants / Criminal sanctions stipulated for late filing (Code 136)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.149,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD53","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4053","PAM_IAD54",3765,"PAM_IAD",3894,"85","85","Total","Head(s) of State / Criminal sanctions stipulated for late filing (Code 85)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.076,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD54","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4054","PAM_IAD55",3766,"PAM_IAD",3895,"110","110","Total","Ministers-Cabinet members / Criminal sanctions stipulated for non-filing (Code 110)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.038,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD55","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4055","PAM_IAD56",3767,"PAM_IAD",3896,"127","127","Total","Members of Parliament (MPs) / Criminal sanctions stipulated for non-filing (Code 127)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.052,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD56","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4056","PAM_IAD57",3768,"PAM_IAD",3897,"144","144","Total","Civil Servants / Criminal sanctions stipulated for non-filing (Code 144)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.013,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD57","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4057","PAM_IAD58",3769,"PAM_IAD",3898,"93","93","Total","Head(s) of State / Criminal sanctions stipulated for non-filing (Code 93)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.027,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD58","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4058","PAM_IAD59",3770,"PAM_IAD",3899,"114","114","Total","Ministers-Cabinet members / Criminal sanctions stipulated for providing false information (Code 114)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.115,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD59","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4059","PAM_IAD6",3771,"PAM_IAD",3900,"126","126","Total","Members of Parliament (MPs) / Administrative sanctions stipulated for non-filing (Code 126)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.137,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD6","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4060","PAM_IAD60",3772,"PAM_IAD",3901,"131","131","Total","Members of Parliament (MPs) / Criminal sanctions stipulated for providing false information (Code 131)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.005,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD60","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4061","PAM_IAD61",3773,"PAM_IAD",3902,"148","148","Total","Civil Servants / Criminal sanctions stipulated for providing false information (Code 148)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.094,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD61","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4062","PAM_IAD62",3774,"PAM_IAD",3903,"97","97","Total","Head(s) of State / Criminal sanctions stipulated for providing false information (Code 97)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.125,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD62","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4063","PAM_IAD63",3775,"PAM_IAD",3904,"10","10","Total","Scope of declarations content (Code 10)",NA,"5 highest 0 lowest","5 highest 0 lowest","Score",4.196,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD63","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4064","PAM_IAD64",3776,"PAM_IAD",3905,"152","152","Total","Head(s) of State / Depository body explicitly identified (Code 152)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.195,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD64","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4065","PAM_IAD65",3777,"PAM_IAD",3906,"157","157","Total","Head(s) of State / Depository body explicitly identified (Code 157)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.197,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD65","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4066","PAM_IAD66",3778,"PAM_IAD",3907,"162","162","Total","Members of Parliament (MPs) / Depository body explicitly identified (Code 162)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.151,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD66","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4067","PAM_IAD67",3779,"PAM_IAD",3908,"167","167","Total","Civil Servants / Depository body explicitly identified (Code 167)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.01,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD67","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4068","PAM_IAD68",3780,"PAM_IAD",3909,"17","17","Total","Head(s) of State / Earned income must be disclosed (Code 17)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.21,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD68","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4069","PAM_IAD69",3781,"PAM_IAD",3910,"25","25","Total","Ministers - Cabinet members / Earned income must be disclosed (Code 25)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.161,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD69","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4070","PAM_IAD7",3782,"PAM_IAD",3911,"143","143","Total","Civil Servants / Administrative sanctions stipulated for non-filing (Code 143)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.13,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD7","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4071","PAM_IAD70",3783,"PAM_IAD",3912,"33","33","Total","Members of Parliament (MPs) / Earned income must be disclosed (Code 33)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.126,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD70","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4072","PAM_IAD71",3784,"PAM_IAD",3913,"41","41","Total","Civil Servants / Earned income must be disclosed (Code 41)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.033,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD71","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4073","PAM_IAD72",3785,"PAM_IAD",3914,"49","49","Total","Spouses and children / Earned income must be disclosed (Code 49)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.214,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD72","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4074","PAM_IAD73",3786,"PAM_IAD",3915,"151","151","Total","Head(s) of State / Enforcement body explicitly identified (Code 151)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.237,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD73","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4075","PAM_IAD74",3787,"PAM_IAD",3916,"156","156","Total","Head(s) of State / Enforcement body explicitly identified (Code 156)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.024,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD74","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4076","PAM_IAD75",3788,"PAM_IAD",3917,"161","161","Total","Members of Parliament (MPs) / Enforcement body explicitly identified (Code 161)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.015,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD75","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4077","PAM_IAD76",3789,"PAM_IAD",3918,"166","166","Total","Civil Servants / Enforcement body explicitly identified (Code 166)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.041,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD76","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4078","PAM_IAD77",3790,"PAM_IAD",3919,"51","51","Total","Filing Frequency (Code 51)",NA,"5 highest 0 lowest","5 highest 0 lowest","Score",4.021,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD77","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4079","PAM_IAD78",3791,"PAM_IAD",3920,"104","104","Total","Ministers-Cabinet members / Fines stipulated for incomplete submission (Code 104)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.167,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD78","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4080","PAM_IAD79",3792,"PAM_IAD",3921,"121","121","Total","Members of Parliament (MPs) / Fines stipulated for incomplete submission (Code 121)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.066,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD79","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4081","PAM_IAD8",3793,"PAM_IAD",3922,"92","92","Total","Head(s) of State / Administrative sanctions stipulated for non-filing (Code 92)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.046,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD8","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4082","PAM_IAD80",3794,"PAM_IAD",3923,"138","138","Total","Civil Servants / Fines stipulated for incomplete submission (Code 138)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.008,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD80","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4083","PAM_IAD81",3795,"PAM_IAD",3924,"87","87","Total","Head(s) of State / Fines stipulated for incomplete submission (Code 87)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.112,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD81","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4084","PAM_IAD82",3796,"PAM_IAD",3925,"108","108","Total","Ministers-Cabinet members / Fines stipulated for non-filing (Code 108)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.022,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD82","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4085","PAM_IAD83",3797,"PAM_IAD",3926,"125","125","Total","Members of Parliament (MPs) / Fines stipulated for non-filing (Code 125)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.058,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD83","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4086","PAM_IAD84",3798,"PAM_IAD",3927,"142","142","Total","Civil Servants / Fines stipulated for non-filing (Code 142)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.06,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD84","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4087","PAM_IAD85",3799,"PAM_IAD",3928,"91","91","Total","Head(s) of State / Fines stipulated for non-filing (Code 91)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.207,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD85","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4088","PAM_IAD86",3800,"PAM_IAD",3929,"100","100","Total","Ministers-Cabinet members / Fines stipulated for late filing (Code 100)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.03,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD86","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4089","PAM_IAD87",3801,"PAM_IAD",3930,"117","117","Total","Members of Parliament (MPs) / Fines stipulated for late filing (Code 117)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.093,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD87","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4090","PAM_IAD88",3802,"PAM_IAD",3931,"134","134","Total","Civil Servants / Fines stipulated for late filing (Code 134)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.108,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD88","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4091","PAM_IAD89",3803,"PAM_IAD",3932,"83","83","Total","Head(s) of State / Fines stipulated for late filing (Code 83)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.065,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD89","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4092","PAM_IAD9",3804,"PAM_IAD",3933,"101","101","Total","Ministers-Cabinet members / Administrative sanctions stipulated for late filing (Code 101)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.047,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD9","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4093","PAM_IAD90",3805,"PAM_IAD",3934,"112","112","Total","Ministers-Cabinet members / Fines stipulated for providing false information (Code 112)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.117,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD90","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4094","PAM_IAD91",3806,"PAM_IAD",3935,"129","129","Total","Members of Parliament (MPs) / Fines stipulated for providing false information (Code 129)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.004,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD91","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4095","PAM_IAD92",3807,"PAM_IAD",3936,"146","146","Total","Civil Servants / Fines stipulated for providing false information (Code 146)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.189,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD92","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4096","PAM_IAD93",3808,"PAM_IAD",3937,"95","95","Total","Head(s) of State / Fines stipulated for providing false information (Code 95)",NA,"1 Yes 0 No","1 Yes 0 No","Value",4.226,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD93","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4097","PAM_IAD94",3809,"PAM_IAD",3938,"11","11","Total","Head(s) of State (Code 11)",NA,"5 highest 0 lowest","5 highest 0 lowest","Score",4.24,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD94","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4098","PAM_IAD95",3810,"PAM_IAD",3939,"150","150","Total","Head(s) of State (Code 150)",NA,"5 highest 0 lowest","5 highest 0 lowest","Score",4.102,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD95","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4099","PAM_IAD96",3811,"PAM_IAD",3940,"171","171","Total","Head(s) of State (Code 171)",NA,"5 highest 0 lowest","5 highest 0 lowest","Score",4.242,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD96","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4100","PAM_IAD97",3812,"PAM_IAD",3941,"52","52","Total","Head(s) of State (Code 52)",NA,"5 highest 0 lowest","5 highest 0 lowest","Score",4.172,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD97","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
"4101","PAM_IAD98",3813,"PAM_IAD",3942,"81","81","Total","Head(s) of State (Code 81)",NA,"5 highest 0 lowest","5 highest 0 lowest","Score",4.071,"Political Accountability","Public Accountability Mechanisns",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","PAM_IAD98","Technical experts from the countries studied are contacted for guidance on the identification of relevant laws, decrees, codes of conduct, and court decisions. Experienced consultants then produce summaries of the legal provisions collected from primary source documents, in the original language where possible.",82,1,2008,2008
